Ferris, Barbara/Bull, Peter
Rovetta, Sandy/Hinrichsen, Niels
Wood, John/Pancake, Roger
Borodo, Zvi/Baer, Parley
Beery Jr., Noah/Long, Matthew
Poggi, Ferdinando/McKinley, J. Edward
Jones, Shirley/McCartney, Paul
Crawford, Michael/Payne, John
Griego, Tony/Salonga, Lea
Michaels, Loren/Nakajima, Haruo
Burch, Doug/Johnson, Jason
Lacey, Joe/Baker, Stanley
Stanford, Chuck/Leachman, Cloris
Larkin, Linda/Loren, Sophia
Armstrong, Vic/Carruthers, Ben
Miles, Bernard/O'Hara, Catherine
Guidi, Guidarino/Haggerty, Don
Parker, Jameson/Richings, Julian
Watson, Minor/McEwan, Geraldine
Uehara, Ken/Colvig, Pinto
Newcombe, John J./MacDonald, James
Chaplin, Josephine/Brooke, T.L.
Knight, Don/McCoy, Matt
Yeomans, Mary/Brooke, T.L.
Mealings, Clayton/Baker, Frank
Jackson, Jermaine/Hinrichsen, Niels
Ulvaeus, Bj�rn/Bakalyan, Richard
Kirkpatrick, Helen/Reed, David
Baumann, Sue/Olsen, Ashley
Hoven, Louise/Wayne, Patrick
Faye, Janina/Jones, Cody
Noland, Charles/Williams, John
Pember, Ron/Ashmore, Shawn
King, Martin/Parfitt, Judy
Cooper, Nona/Karras, Alex
Carveth, Gordon/Johnson, Jason
Colt, Mike/Robertson, Cliff
Peters�n, Erik/Andrews, Edward
Dobson, Michael/Bissell, Whit
Olds, William/O'Hara, Catherine
Gugolka, John/Darwell, Jane
Pallette, Eugene/Slezak, Walter
Breneman, John/Johnson, Jason
Skinner, Shelley/Dalio, Marcel
Kenny, Al/MacDonald, James
Carradine, Robert/Conforti, Gino
McCormick, Ellina/Foray, June
Andrews, Tod/Moustache
Seldes, Marian/Rossi-Stuart, Giacomo
Reul, Kevin/Driscoll, Bobby
Kettlewell, Ruth/Martin, George
Tannen, Julius/Davis Jr., Sammy
Moriarty, Michael/Silvers, Phil
Wills, Beverly/Andersson, Bibi
Brady, Moya/Geer, Will
Kaye, Doug/Edner, Bobby
Phin, Albert/Scotti, Vito
Mylett, Jeffrey/Harrison, Gregory
Perrotta, Tony/Chalk, Gary
Tinnon, Sarah/Hill, Terence
Saint, Eva Marie/Charlton, Bill
Charby, Jacques/Bouchey, Willis
Bagdad, William/Marks, Joe E.
Crystal, Billy/Reznick, Peter
Mikler, Michael T./Barr, Kathleen
Gorman, Breon/Winters, Jonathan
Johnson, Jason/Peil Sr., Edward
James, Charity/Lester, Tom
Johnson, Sander/Robson, Wayne
Vint, Jesse/Nakajima, Haruo
Nordine, Ken/Kolden, Scott C.
Lewis, Peter/Kolden, Scott C.
Chandler, Eddy/Keir, Andrew
Hunter, Kim/Pr�boist, Jacques
Paul, Andrew/Driscoll, Bobby
Livanov, Vasili/Haggerty, Don
Locke, Harry/Brooke, T.L.
Esformes, Nate/Strode, Woody
Miers, Jack/Currie, Finlay
Epperson, Van/Baker, Karily
Rowan, Dan/Scourby, Alexander
Scopp, Alfie/Pr�boist, Jacques
O'Shea, Tessie/Stiglitz, Hugo
Anders, Luana/Plowright, Joan
Ewing, Barbara/Lawson, Twiggy
Hensbergen, Lo van/Baer, Parley
Lee, Bill/Tobolowsky, Stephen
Stevenson, Tara/Fauteux, Jacques
Cummings, Jim/Rossi-Stuart, Giacomo
Gillis, Ann/Davis Jr., Sammy
Carboni, John/Johnson, Jason
Stewart, Fred/Kauffman, John
Telford, Robert S./Scourby, Alexander
Peters, Tom/Salonga, Lea
Bergen, Frances/Allen, Rex
Chaplin, Charles/Milford, John
Smith, Julie/Arkin, Alan
Fay, Jean/Moore, Matt
Emerson, Michael/Hackett, Buddy
Austin, Karen/Leachman, Cloris
Gray, Bryon/Naismith, Laurence
Stephenson, Susan/Naismith, Laurence
Pringle, Conrad/Judd, Edward
Valgoi, Mario/Ayres, Lew
Maquire, Kathleen/Close, Glenn
McCauley, Clint/Milford, John
Stewart, Tom/Coleman, Michael
Fischer, Jane/Connolly, Billy
Stidham, Cary/Vigran, Herb
Franz, Arthur/Oliver, Tom
Beekman, Tim/Baer, Parley
Brennan, Walter/Laurie, Hugh
Kasket, Harold/Brown, Pamela
Gleason, Mary Pat/Robertson, Cliff
Vincent, Jan-Michael/Edner, Bobby
Collins, Steven/Hulce, Tom
Aldrich, Rhonda/Connors, Chuck
Magill, Ronald/Marks, Joe E.
Daniel, Chuck/Johnson, Ashley
Hawthorne, Nigel/Loren, Sophia
Kercheval, Ken/Edner, Bobby
Longo, Germano/Bloom, Claire
Caplan, Twink/Foster, Jodie
Powell, Robert/Ayres, Lew
Willman, Noel/Bell, Alfred
Henry, Pat/Bloom, Claire
Hanlon, Dan/Best, James
Stewart, Bob/Strode, Woody
Harris, Laura/Richards, Burt
Chase, Bailey/Foster, Jodie
Slutchuk, Ernest/Worden, Hank
Stafford, Joseph/McDowall, Roddy
Reynolds, Debbie/Carver, Brent
Liotard, Th�r�se/Brock, Stanley
Gardiner, Patrick/Darden, Severn
McMahon, David/Henshaw, Jim
Moon, Wally/Hinrichsen, Niels
Glenn, Jason/Kirk, Tommy
Glasser, Isabel/Burton, Corey
Neuhaus, Paul/Provost, Jon
Drummore, Keith/Colvig, Pinto
Pizzuto, Michael/Hill, Terence
Baron, Joanne/Lee, Johnny
Mackay, John/Edner, Bobby
Marsh, Michele/Pr�boist, Jacques
Camp, Wayne/Jones, Carolyn
McMullan, Jim/Nicastro, Michelle
Andrews, Stanley/Keen, Geoffrey
Finlayson, Marion/Carter, Jack
Mercer, Beryl/Reynolds, Michael J.
Grainger, Gawn/Allen, Patrick
Walden, Barbara/Herron, Kelly
Lennon, John))/Darden, Severn
Backlinie, Susan/Barkworth, Peter
Silva, Henry/Edner, Bobby
Lemmon, Jack/Greig, Robert
Daly, Jonathon/Olsen, Ashley
Christiansen, Dwane/Salonga, Lea
Smith, Zelda/Conried, Hans
Berg, Catherine/Sallis, Peter
Cripps, Kernan/Keir, Andrew
Juttner, Christian/Chaplin, Charles
Harding, Josh/Wymark, Patrick
Whitaker, Dori/Moustache
Meyer, Carla/Remsen, Bert
Regan, Patty/Plowright, Joan
Savident, John/Lawrence, Bill
Nokes, Georgie/Congdon, James
Lewis, Ron/Pr�boist, Jacques
Hale, Bobby/Gravey, Fernand
Grammer, Kelsey/Hirata, Akihiko
Chesebro, George/Duncan, Sandy
Bacall, Lauren/Kristofferson, Kris
McGrath, Brian/Darden, Severn
Shaw, Patsy/Gravey, Fernand
Jeter, Michael/Chalk, Gary
Kubey, Phyllis/Baker, Stanley
Dugan, Dennis/Kaese, Jacqui
Tiger, Tommy/Ashley, John
Stevens, Landers/War Eagle, John
Crane, Bob/Larsen, Ham
Hughes, Janine/Pryce, Jonathan
Newman, Richard/Bissell, Whit
Chan, Douglas/Johnson, Jason
Beacham, Stephanie/Harris, Julie
Dewhurst, Brian/Reynolds, Michael J.
Shorter, Frank/Clark, Petula
Thomas, Al/Johnson, Ashley
Gloag, Helena/Angarano, Michael
Vitelleschi, Stella/Pr�boist, Jacques
Clyde, Craig/Goelz, Dave
Andes, Keith/Pr�boist, Jacques
Nevinson, Gennie/Johnson, Jason
Bradford, Marshall/Edner, Bobby
Vincent, Meredith/Hinrichsen, Niels
Stanton, Reggie/Green, Danny
Chenery, Ronald/Stanton, Harry Dean
Silverman, David/Reznick, Peter
Conroy, Frank/Edner, Bobby
Whitmore, James/Williams, Philip
Carroll, Shana/Reynolds, Michael J.
Whitehead, Geoffrey/Bourgeois, John
Devry, Elaine/Dalton, Timothy
Pal, George/Henshaw, Jim
Reitano, Roger/Bikel, Theodore
Gabellone, Luigi/Carlson, Leslie
Knoll, Mary/Green, Danny
Gautreaux, David/MacCallum, Heather Lea
Coleby, Robert/Hulce, Tom
Cartwright, Maryse/Candy, John
Chakiris, George/Midler, Bette
Robman, Mark/Angarano, Michael
Harrison, Rex/Parfitt, Judy
Puckett, Don/Andersson, Bibi
Reis, Ace/McCartney, Paul
Elliott, William/Moustache
Mancini, Michael/McGiver, John
Kuter, Kay E./Fiermonte, Enzo
Finlay, Frank/Sanders, Annette
Upton, John/Baker, Karily
Hatfield, Hurd/Darling, Jane
Rogers, Brooks/Hunter, Jeffrey
Stokowski, Leopold/Caesar, Sid
Byrne, Martha/Begley Jr., Ed
DeLuise, Dom/Clyde, Craig
Reznick, Peter/Conried, Hans
Fark, Sixten/Driscoll, Bobby
Kagan, Diane/Hackett, Buddy
Latimer, Sheila/Funicello, Annette
Joyce, Susan/Satsuma, Kenpachiro
Brown, Julie/Clyde, Craig
Johnson, Gordon/Kauffman, John
Fiedler, John/Bradford, Jim
Broc, Marcelle/Wayne, Patrick
Kelly, Diarmuid/Curry, Tim
Hardin, Glen D./Sullivan, Liam
Jayne, Tara/Nakajima, Haruo
Ronald, Norma/Parfitt, Judy
Rougeul, Jean/Johnson, Ashley
King, Donald/Naismith, Laurence
Tucker, Burnell/Marks, Joe E.
Osbahr, Carmen/Stanton, Harry Dean
Godfrey, Arthur/Moore, Matt
Potts, Cliff/Kirino, Nadao
Hammond, Mark/Baker, Karily
Dinovitch, Abe/Karras, Alex
Abraham, F. Murray/Clyde, Craig
Kozicki, Adam Edwin/Karras, Alex
Angelo, August/Johnson, Jason
Ahlstedt, B�rje/Bennett, Jeff
Bressler, Holly/Adams, Nick
Potter, Denise/Barkworth, Peter
Lala, Joe/Reznick, Peter
Green, Janet-Laine/Wayne, Patrick
Hall, Henry/Reid, Milton
Chandler, David/Garber, Victor
Matorin, Mikhail/Reynolds, Michael J.
Stensgaard, Yutte/Pickens, Slim
Sherman, Shawn/Moustache
Bishop, Jennifer/Scourby, Alexander
Sturges, Solomon/McCartney, Paul
Ortiz, Lisa/Nakajima, Haruo
Rhys, Paul/Braun, Pinkas
Robins, Elliot/Graham, Gerrit
Parker, Jamison/Bloom, Claire
von Aacken, Wilfried/Provost, Jon
Lana, Anthony Dalla/Price, Vincent
Walters, Anthony/Carruthers, Ben
Courtney, Chuck/Reynolds, Michael J.
Raskin, Kenny/Reynolds, Michael J.
Williams, Ken/Baker, Stanley
Olmstead, Remington/Pr�boist, Jacques
Leland, David/Ashmore, Shawn
Ebert, Ken/Pyle, Denver
Brandon, Henry/Payne, John
Murai, Kunio/Hayashibara, Megumi
Wills, Mark/Darden, Severn
Olek, Henry/Robson, Wayne
Bower, Laura/Dalio, Marcel
Jackson, Glenda/Amer, Nicolas
Madzikatire, Elizjah/Scotti, Vito
Knipscheer, Jos/Baer, Parley
Tima, Emma/Mayeska, Ir�na
O'Docharty, William H./Karras, Alex
Liotta, Ray/Lawrence, Bill
McGruder, Chuck/Naismith, Laurence
Hyman, Jerry/Conway, Harold
Fillmore, Jana/Camp, Colleen
Wilding, Chris/Pickard, John
Lanc, Madison/Bikel, Theodore
Lelliott, Jeremy/Marks, Joe E.
Loggia, Robert/Rossi-Stuart, Giacomo
Stephens, Shannon/Allen, Patrick
Keel, Howard/Perkins, Larry
Reagan, Regina/Brazeau, Jay
Goldman, Danny/Kidder, Margot
Ripper, Michael/Green, Danny
Nova, Ludmilla/Walken, Christopher
Shcherbakov, Yevgeni/Miller, Matt K.
Pointer, Priscilla/Conway, Harold
Stubbs, Charles/Lancaster, Burt
Pinero, Federico/Chinn, Anthony
Gora, Claudio/Tajima, Reiko
Smoller, Cully/Reynolds, Michael J.
Lack, Simon/Goodall, Caroline
Falconer, John/Angarano, Michael
Libman, Daniel/Price, Vincent
Taillon, Gus/Henshaw, Jim
Gonzales-Gonzales, Jose/Dillman, Bradford
Hays, Kathryn/Davis Jr., Sammy
Dial, Bill/Edner, Bobby
Willie, Boxcar/Johnson, Richard
Ullman, Tracey/Duell, William
Nelson, David/Hackett, Joan
Jonsson, Folke/Driscoll, Bobby
Adams, Peter/Henshaw, Jim
Meltzer, Adrienne/Foster, Jodie
Richards, Beah/Blessed, Brian
McKenna, Siobhan/Darling, Jane
Helmond, Katherine/Welker, Frank
Marchini, Dorothy/Candido, Candy
Alexander, Jason/Inn, Frank
Holness, Harold/Olsen, Ashley
De Haas, Tim/Allen, Rex
Sira, Gurdial/Ben-Sira, Ya'ackov
English, Liz/Brooke, T.L.
Massin, Dona/Karras, Alex
Meldrum, Wendel/Greenwood, Charlotte
Santoni, Reni/P�rier, Fran�ois
Charblay, Odette/Wayne, Patrick
Natwick, Mildred/Johnson, Ashley
Glover, Bruce/Richards, Ariana
Owen, Tom/Grayson, Milt
Duncan, Margie/Plowright, Joan
Corcoran, Donna/Moustache
Ruskin, Shimen/Pr�boist, Jacques
Gonzalez, Ed 'Snow Hawk'/Salonga, Lea
Volkie, Ralph/Marks, Joe E.
Alder, Don/Remsen, Bert
Young, Carleton/Edner, Bobby
Armin, Robert/Allen, Rex
Smith, Valerie/Brooke, T.L.
Reid, Milton/P�rier, Fran�ois
Boers, Henry/Karras, Alex
Cross, Dennis/Thomas, Dave
Bergin, Emmet/Cooper, Jeff
Benson, Linda/Garber, Victor
Smart, Jean/Remsen, Bert
Florece, Katrina/Bikel, Theodore
Fleming, Rhonda/Ben-Sira, Ya'ackov
McCrea, Joel/Mackintosh, Steven
Fujiwara, Kei/Imhoff, Gary
Farrell, Steve/Oates, Warren
Baird, Leah/Johnson, Jason
Kirshenbaum, Deborah/Conforti, Gino
Caselotti, Adriana/Dalton, Timothy
Norona, David/Chalk, Gary
Brown, Donald/Johnson, Jason
Mann, Paul/Pr�boist, Jacques
Hawk, Jeremy/Baker, Dee Bradley
Probst, Lyndee/Carney, Alan
Macleod, Lewis/Lee, Christopher
Pizzuti, Riccardo/Damante-Shaw, Susan
Davis, Billy/Naismith, Laurence
Roth, Ann/Bloom, Claire
Davenport, Nigel/Alfredson, Hans
Stevens, Jeffrey/Driscoll, Bobby
Muc, Micheline/Bouchey, Willis
von Detten, Erik/Brooke, T.L.
Edner, Bobby/Reznick, Peter
Spencer, Linbert/Marks, Joe E.
Moore, Carl/Mifune, Toshir�
Curtis, John Bear/Geer, Will
Parnell, Emory/Peil Sr., Edward
Maiden, Rita/Bouchey, Willis
Mallow, Dave/Holland, Anthony
Tsuchiya, Yoshio/Piccoli, Michel
Ruman, Sig/Jones, Carolyn
Baron, Lynda/Olsen, Ashley
Thompson, Tyler/Baker, Frank
Millet, Nefti/Moustache
Valdez, Alicia/Hill, Terence
Harlan, Otis/Franciscus, James
Welch, Elisabeth/Ben-Sira, Ya'ackov
Doohan, James/Lester, Tom
Landry, John/Baker, Stanley
Harris, Barbara/Hill, Terence
Landers, Muriel/Marks, Joe E.
Mariana, Michele/Crosby, Bing
S�d�n, Erik/Driscoll, Bobby
Muirhead, Oliver/Reznick, Peter
Szubanski, Magda/Duell, William
Ray, Jacki/York, Michael
Raker, Fred/Stanton, Harry Dean
Elliott, Alecia/Darden, Severn
Hirata, Akihiko/York, Michael
Dooley, Paul/Hinrichsen, Niels
S�gal, Gilles/Sallis, Peter
Johnson, Billy J./Edner, Bobby
Crawford, Andrew/Marks, Joe E.
Carter, Harold/Green, Danny
Moreno, Ruben/Payne, John
Banjoko, Kashka/Naismith, Laurence
Kelly, Lew/Starr, Ringo
Mitchell, Jackie/Coleman, Michael
Landry, G�rard/Damante-Shaw, Susan
Elliott, Eileen/Seymour, Jane
Deacon, Richard/P�rier, Fran�ois
Fraser, David/Davis, George
Heath, Eira/Hill, Terence
Tarkington, Rockne/Harrison, Gregory
Morrison, Barbara/Johnson, Ashley
Birchfiel, Bobby/Johnson, Jason
Nadira/Myhers, John
Matthews, Eric/Guth, Raymond
Miller, Sidney/Pr�boist, Jacques
Block, Ron/Hastings, Bob
Sabella, Ernie/Coleman, Michael
Kerr, Elizabeth/Bloom, Claire
McGowan, Mickie/Pr�boist, Jacques
Haru, Sumi/Bloom, Claire
Hartman, Ryan/Lee, Johnny
Sugihara, Y�ko/Abbott, John
Simpson Jr., Alva/Sawamura, Ikio
Hughes, Elizabeth/Olsen, Ashley
Trevena, David/Braun, Pinkas
Adams, Mason/Bourgeois, John
Mustin, Burt/Payne, John
Quinn, Rebecca/Vigran, Herb
Correia, David/Robertson, Cliff
Salvitti, Tom/Arkin, Alan
Lord, Donny B./Lee, Johnny
Kulle, Jarl/Andrews, Edward
Bazart, Ren�/Colvig, Pinto
Hines, Tom/Green, Danny
Magrath, Gavin/Brazeau, Jay
Albert, Adrienne/Naismith, Laurence
Winston, Helene/Scales, Prunella
de Corsia, Ted/McKenna, Virginia
Swit, Loretta/Guth, Raymond
Wall, Max/Andersson, Bibi
Anholt, Christien/Bell, Alfred
Owen, Garry/Hutson, Candace
Glover, Edna/MacCallum, Heather Lea
Fischbach, Erica/Vigran, Herb
Ridley, Paul/O'Malley, J. Pat
Clark, Wallis/Bluthal, John
Pinnock, Arnold/Mayeska, Ir�na
Bacon, Max/Green, Danny
Hudson, Brad/Clark, Petula
Fonda, Bridget/Crandall, Brad
Basco, Dante/Clyde, Craig
Tinoco, Mary Ann/Salonga, Lea
Bashi, Haim/Chaplin, Charles
Frome, Milton/Francks, Don
Cooper, Ben/Sheybal, Vladek
Montand, Yves/Greig, Robert
Cross, Larry/Brooke, T.L.
Raye, Helen/Cooper, Jeff
Douglas, Paul/Moustache
Frazen, Diane/Green, Danny
Telienki, Ryan/Inn, Frank
Black, David/Bikel, Theodore
Stark, Fred/Naismith, Laurence
Hubbard, Thelma/Namath, Joe
Perry, Joan/Bloom, Claire
Shea, Stephen/Ingham, Barrie
Crane, Norma/Pr�boist, Jacques
Brazeau, Jay/Bryant, William
Perego, Didi/Candido, Candy
Mackleprang, William/Hinrichsen, Niels
Cocos, George/Wayne, Patrick
Wagner, Shooki/Chaplin, Charles
MacLeod, Roland/Ripley, Jay
Doughan, Kate/Hill, Terence
Seymour, Ann/McCann, Chuck
Weseluck, Cathy/Richards, Burt
Bryant, Jimmy/Dalton, Timothy
Barkoff, Victoria/Wallis, Shani
Cope, Kenneth/Lawson, Twiggy
Fawcett, Charles/Gough, Michael
McQueen, Steve/Wayne, Patrick
Doughty, Denis/Winters, Jonathan
Renard, Ken/Payne, John
Wong, Arthur/Logan, Robert
Simmons, J.K./Lester, Tom
Infuhr, Teddy/Lee, Margaret
Taylor, Gary/Remsen, Bert
Johnson, Petra/Naismith, Laurence
O'Leary, Thomas/Pr�boist, Jacques
Murillo, Marlon/Baker, Frank
Chan, Ronald (/Johnson, Jason
Linke, Paul/Mifune, Toshir�
Kitzmiller, John/Gough, Michael
Rowe, Vern/Braun, Pinkas
Simon, Neil/Corcoran, Donna
Miranda, Isa/Johnson, Ashley
Aletter, Frank/Pr�boist, Jacques
Dvornik, Boris/Brooke, Hillary
Flynn, Gertrude/Keir, Andrew
Cole, Jackson/Keith, Brian
McDowall, Roddy/Stiglitz, Hugo
Hamilton, Big John/Andersson, Bibi
Collins, Rickey D'Shon/Johnson, Ashley
Quayle, Anna/Green, Danny
De Sica, Vittorio/Johnson, Ashley
Breck, Peter/Andersson, Bibi
Capell, Peter/Marks, Joe E.
Hoskins, Allen 'Farina'/Bloom, Claire
Reynolds, Larry/Allen, Patrick
Kane, Tom/Lee, Christopher
Dalban, Robert/Cr�mieux, Henri
Phillips, Patrick/Reznick, Peter
McCartney, Paul/Namath, Joe
Martinez, Leo/Petersen, Stewart
Guizon, Richard/Lee, Margaret
Zachrisson, Lisbeth/Driscoll, Bobby
Marsh, Sally Ann/Frees, Paul
Gr�co, Juliette/Gough, Michael
Pitt, Norman/Conway, Tim
Hearn, Edward/War Eagle, John
Williams, Lucille/Milford, John
Murari, Kamal/Johnson, Ashley
Pickle, Christina/Patrick, Nigel
Shoemaker, Timothy S./Celis, Fernando
White, Jaleel/Kidder, Margot
Pecher, Kurt/Clyde, Craig
Lauter, Harry/Lom, Herbert
Buch, Fred/Edner, Bobby
Seymour, Harry/Carver, Brent
Baeza, Paloma/Myhers, John
Lesk, Stan/Worden, Hank
Reed, Myrtle/Walken, Christopher
Gwillim, David/Coleman, Michael
Sarc, Tomaz/Brooke, Hillary
Hooper, Ewan/Turner, Frank C.
Timuss, Debbie/Keith, Brian
Moordigian, Dave/MacCallum, Heather Lea
Cruchley, Murray/Conforti, Gino
Wrigley, Ben/Stiglitz, Hugo
Barry, Wendy/Colvig, Pinto
Charone, Irwin/McQueen, Steve
Molinare, Richard/Chaplin, Charles
Robbins, Peter/Butala, Tony
Cagney, Tim/Duell, William
Collin, John/Milford, John
Iwerks, Don/Kristofferson, Kris
Glenn, Roy/Carver, Brent
Bennett, Van/Moore, Matt
Whelchel, Jerilou/Amer, Nicolas
Parness, Arlene/Plowright, Joan
Bettles, Terrence/Salonga, Lea
Wright, Darryl/Allen, Patrick
Williams, Brett/Angarano, Michael
Okada, Masumi/Carey, David
Bent, Stephen/Brazeau, Jay
Underdown, Edward/Strode, Woody
Downey, Gary/Barr, Kathleen
Dapo, Ronnie/Holt, Patrick
Brown, Chelsea/Coleman, Michael
Kerns, Linda/Chalk, Gary
Torm�, Mel/Lennon, Jarrett
Giraud, Claude/MacLachlan, Janet
Shields, Fred/Gough, Michael
Meskimen, Jim/Johnson, Richard
Viertaler, Heinz/Blanc, Mel
Stewart, Dean/Salonga, Lea
Barretta, Bill/Conried, Hans
Horn, Maritza/Bakalyan, Richard
Weir, Molly/Andersson, Bibi
Maranzana, Mario/Grayson, Milt
Humbert, George/Jones, Carolyn
Bruce, Nigel/Lom, Herbert
Gelbart, Larry/Corcoran, Donna
Stiefel, Rolf/Provost, Jon
Conley, David E./Starr, Ringo
Minnelli, Liza/Lee, Margaret
Cortese, Valentina/Candido, Candy
Balsbaugh, Dale/Brock, Stanley
Kahn, Madeline/Carver, Brent
Waters, Tom/Logan, Robert
Alberni, Luis/Duell, William
Swoger, Harry/Moustache
Greyn, Clinton/Grayson, Milt
Merman, Ethel/Lee, Margaret
Donohoe, Amanda/Myhers, John
Davies, Windsor/Mullaney, Jack
Parkhomenko, Aleksandr/Haggerty, Don
DeGeneres, Ellen/Jones, Quincy
Cutler, Brian/Congdon, James
Higata, Kazuo/Colvig, Pinto
Phillips, Barney/Burleigh, William
Crane, Fred/Keir, Andrew
Pinney, Patrick/Pr�boist, Jacques
Sawyer, Joe/Gibson, Mel
Hull, Henry/Inn, Frank
Moore, Candy/Moustache
Scourby, Alexander/Mifune, Toshir�
Adderley, Scott/Alderson, John
Berry, Gordon/Cooper, Jeff
Hale, Jennifer/Baker, Stanley
Rose, Virginia/Damante-Shaw, Susan
Penney, Edmund/Duell, William
Zafria, Tamar/Chaplin, Charles
Gould, Sandra/Holt, Patrick
Novis, Julietta/Caesar, Sid
Woodward, Sean/Colvig, Pinto
Whiting, Leonard/Andersson, Bibi
Brando, Marlon/Brooke, T.L.
Dayton, June/Pr�boist, Jacques
Vanlancker, Simone/Wayne, Patrick
Durand, Judi M./Coleman, Michael
Hersholt, Jean/Jones, Carolyn
Garay, Linda/Moustache
DeLeon, Jack/Graham, Gerrit
Tarascio, Enzo/Damante-Shaw, Susan
Morrow, Robert/Brand, Neville
Young, Tony/McCartney, Paul
Taylor, Russi/Oliver, Tom
Sweet, Arthur/Walken, Christopher
Strizhanov, Igor/Reynolds, Michael J.
Williams, Mack/P�rier, Fran�ois
Barry, Gene/Henshaw, Jim
Inoue, Makio/Adams, Nick
Greenland, Johnny/Colvig, Pinto
Malkina, Liliya/Colvig, Pinto
Antrobus, Yvonne/Mullaney, Jack
Chabert, Lacey)/Lester, Tom
Cort, Bud/Kidder, Margot
Nolan, Bob/Begley Jr., Ed
Ferris, Barbara/Johnson, Ashley
Kennedy, John/Hughes, Miko
Gossett Jr., Louis/Curry, Tim
Remsen, Bert/Sullivan, Liam
Hurst, Paul/McCartney, Paul
Mills, Brooke/Herron, Kelly
Kind, Richard/Moore, Matt
Jeffrey, Myles/Baker, Karily
Russell, Bing/Logan, Robert
Golden, Annie/Ben-Sira, Ya'ackov
Peach, Jane/Conway, Tim
Dorr, Lester/Johnson, Ashley
Rub, Christian/Reed, David
Heater, Claude/Pr�boist, Jacques
Gwillim, Jack/Carver, Brent
Robbins, Joyce/Adrian, Iris
Buckley, Robert/Bakalyan, Richard
Dehner, John/McCartney, Paul
Jones, Chuck/Kristofferson, Kris
Armstrong, Sean/Candido, Candy
Samuels, David/Nakajima, Haruo
Pedro, Ellario/Curry, Tim
Oh, Soon-Tek/Olsen, Ashley
Gibson, Henry/Rainey, Ford
Anderson, Bob/Dunham, Robert
Houston, Charles/Shatner, William
Gage, Ali/Green, Danny
Deckers, Eugene/P�rier, Fran�ois
Carey, Harry/Malet, Arthur
Roy, Melinda/Conried, Hans
Conway, Kevin/Davis, George
Strasberg, Susan/Nakamura, Tetsu
Ai, Tomoko/Ootani, Ikue
Pelling, George/Jones, Freddie
Harding, John/McCoy, Matt
Wahlund, Torsten/Coleman, Michael
Davis, Phyllis/Allen, Patrick
White, Myrna/Barr, Kathleen
Leipnitz, Harald/Ahn, Philip
Dunbar, Olive/Burleigh, William
Eaves, Patricia/Moore, Matt
Brown, Wanda/Johnson, Jason
Fullmer, Carly/Camp, Colleen
Lee, Anna/Heyerdahl, Thor
Owen, Tudor/Olsen, Ashley
Spence, Bruce/MacDonald, James
Koek, Maurits/Baer, Parley
Igus, Darrow/McCartney, Paul
Dzenkiw, Paul/Adrian, Iris
French, Leigh/Logan, Robert
McNair, Barbara/Moustache
Bateson, Timothy/Ayres, Lew
Benet, Vicki/Lee, Christopher
Cabal, Robert/Johnson, Jason
Banks, Carl/Foster, Jodie
Sellers, Peter/Oliver, Tom
Peel, Richard/Stiglitz, Hugo
Taylor, Rod/Mifune, Toshir�
Murakami, Fuyuki/Chevalier, Maurice
Barrymore, John Drew/Davis Jr., Sammy
Westerfield, James/Haiduc, Ion
Munson III, Warren A./Oates, Warren
Burns, Bob/Duncan, Sandy
Wright, Patrick/Edner, Bobby
Hazlegrove, Jane/Nicastro, Michelle
M�ller, Wolfgang/Bikel, Theodore
Lackteen, Frank/Duell, William
Kokas, Michel/Wayne, Patrick
MacDonald, Scott/Harrison, Gregory
Bron, Eleanor/P�rier, Fran�ois
Hendrix, Jimi/Brannick, Dick
Churcher, Mel/Bell, E.E.
Rimmer, Shane/Ben-Sira, Ya'ackov
Oberer, Amy/Lee, Johnny
Britt, Leo/Gilbert, Billy
Lawrence, Bill/Marks, Joe E.
Berger, Gregg/Carver, Brent
Milner, Jessamine/Graham, Gerrit
Nettleton, John/Rossi-Stuart, Giacomo
Cort�s, In�s Elvira/Darling, Jane
Landis, Jessie Royce/Johnson, Ashley
Powers, Stefanie/Johnson, Ashley
Silverheels, Jay/Tobolowsky, Stephen
De Fish, Joe/Bloom, Claire
Sada, Yutaka/Brown, Pamela
De Veyra, Yani/Belle, Camilla
Locise, Nicholas/Crawley, Amos
Shell, Jonathan)/Colvig, Pinto
Dolan, Lindsay/Colvig, Pinto
Silvera, Frank/Rossi-Stuart, Giacomo
Stapleton, Nicola/Borgnine, Ernest
Hutson, Candace/Heyerdahl, Thor
Woodson, William/Barr, Kathleen
Shigeta, James/Brooke, T.L.
Yee, Steven/Baker, Frank
Webster, Byron/Solomin, Yuri
Hunter, Kenneth/Reynolds, Michael J.
Baylor, Hal/Payne, John
Negri, Pola/Laurie, Hugh
Hartman, Ena/Johnson, Ashley
Hutchins, Will/Hill, Terence
Collins, Phil/Crandall, Brad
Turnbull, Bob/Pr�boist, Jacques
Smith, Lois/Anderson Jr., Michael
Ball, Matthew/Worden, Hank
Dalby, Amy/Baker, Stanley
John, Themba/Scotti, Vito
Hogg, Ian/Braun, Pinkas
Clark, Sharon/Bell, Alfred
Ranft, Sophia/Reznick, Peter
Potter, Martin/Fabray, Nanette
Buchanan, Michael/Walken, Christopher
Ashley, Edward/Dalton, Timothy
Seales, Franklyn/MacCallum, Heather Lea
Miller, Larry/Green, Danny
Kusumi, Momoru/Holliman, Earl
